0,0000000000000D+00 2,9779942880433D-26 0,0000000000000D+00
4,9291618185410D-01 4,9221824520903D-01 3,4995986337968D-01
9,8608088989202D-01 9,8296902802701D-01 6,9985825232931D-01
1,4797071465570D+00 1,4720163840606D+00 1,0495458898471D+00
1,9740612299032D+00 1,9589397753664D+00 1,3987787557415D+00
2,4693561623738D+00 2,4430314798769D+00 1,7471950337682D+00
2,9658582220229D+00 2,9233655498134D+00 2,0943272855314D+00
3,4637981831641D+00 3,3988356846264D+00 2,4396142300898D+00
3,9634245719812D+00 3,8682262997978D+00 2,7824242045924D+00
4,4649859146580D+00 4,3302780059622D+00 3,1220809906938D+00
4,9687307373782D+00 4,7837512628258D+00 3,4578910210067D+00
5,4749253181961D+00 5,2274783974224D+00 3,7891694026645D+00
5,9838181832954D+00 5,6604076371118D+00 4,1152616036245D+00
6,4956933626004D+00 6,0816300313084D+00 4,4355608017097D+00
7,0108348860356D+00 6,4903963345999D+00 4,7495228678726D+00
7,5294735279144D+00 6,8861256764564D+00 5,0566722806411D+00
8,0519465737721D+00 7,2684014545264D+00 5,3566092234542D+00
8,5785203016627D+00 7,6369644901289D+00 5,6490103732545D+00
9,1094964933808D+00 7,9916988829380D+00 5,9336273233030D+00
9,6451769307212D+00 8,3326183219688D+00 6,2102834288074D+00
1,0185916651089D+01 8,6598496587586D+00 6,4788686810690D+00
1,0731999684409D+01 8,9736137427471D+00 6,7393353702220D+00
1,1283798819957D+01 9,2742089944576D+00 6,9916898050090D+00
1,1841651343267D+01 9,5619995416851D+00 7,2359887641132D+00
1,2405930043617D+01 9,8373960548748D+00 7,4723308216374D+00
1,2977007710280D+01 1,0100845708511D+01 7,7008516155471D+00
1,3555292636274D+01 1,0352823055110D+01 7,9217175389279D+00
1,4141157610875D+01 1,0593814510997D+01 8,1351202198357D+00
1,4735064182709D+01 1,0824318356313D+01 8,3412733669253D+00
1,5337438396662D+01 1,1044830133396D+01 8,5404064607083D+00
1,5948741801363D+01 1,1255845384582D+01 8,7327615991810D+00
1,6569471449179D+01 1,1457847788397D+01 8,9185911320468D+00
1,7200106640606D+01 1,1651310984753D+01 9,0981537177514D+00
1,7841215435494D+01 1,1836694924549D+01 9,2717111691120D+00
1,8493312638081D+01 1,2014443131867D+01 9,4395292419097D+00
1,9156984060086D+01 1,2184983616570D+01 9,6018713261473D+00
1,9832868768838D+01 1,2348726136502D+01 9,7590008118276D+00
2,0521588079796D+01 1,2506063110090D+01 9,9111787231749D+00
2,1223798812162D+01 1,2657371441541D+01 1,0058661352856D+01
2,1940246544487D+01 1,2803008870443D+01 1,0201702627761D+01
2,2671641351580D+01 1,2943316709568D+01 1,0340549377442D+01
2,3418799819476D+01 1,3078622582669D+01 1,0475443699897D+01
2,4182556286076D+01 1,3209237686684D+01 1,0606623750157D+01
2,4963762841154D+01 1,3335457704334D+01 1,0734318220141D+01
2,5763360333835D+01 1,3457565541925D+01 1,0858751858804D+01
2,6582342868852D+01 1,3575830416750D+01 1,0980140740578D+01
2,7421740054683D+01 1,3690511507489D+01 1,1098693053970D+01
2,8282670259155D+01 1,3801854303809D+01 1,1214612255927D+01
2,9166269601964D+01 1,3910095169366D+01 1,1328093128877D+01
3,0073816217771D+01 1,4015462254406D+01 1,1439322569318D+01
3,1006623744976D+01 1,4118172757967D+01 1,1548482742193D+01
3,1966076829459D+01 1,4218440228679D+01 1,1655747926515D+01
3,2953666628324D+01 1,4316467263961D+01 1,1761287669741D+01
3,3970990809896D+01 1,4412452810830D+01 1,1865266787772D+01
3,5019718049979D+01 1,4506589428095D+01 1,1967844576356D+01
3,6101676791212D+01 1,4599062373756D+01 1,2069174811095D+01
3,7218748731845D+01 1,4690054168011D+01 1,2169406536033D+01
3,8373010840697D+01 1,4779741855452D+01 1,2268685640840D+01
3,9566593342204D+01 1,4868297005065D+01 1,2367148552076D+01
4,0801857235110D+01 1,4955889360634D+01 1,2464929330521D+01
4,2081270029383D+01 1,5042684102938D+01 1,2562155728212D+01
4,3407459001824D+01 1,5128842762353D+01 1,2658951554221D+01
4,4783246699807D+01 1,5214526869253D+01 1,2755435886065D+01
4,6211633189406D+01 1,5299896128812D+01 1,2851723069704D+01
4,7695813807272D+01 1,5385109333601D+01 1,2947920353761D+01
4,9239196912496D+01 1,5470322538391D+01 1,3044127100932D+01
5,0845403886614D+01 1,5555694535753D+01 1,3140433210798D+01
5,2518286885475D+01 1,5641380467855D+01 1,3236919119828D+01
5,4261928839243D+01 1,5727528176058D+01 1,3333655801376D+01
5,6080661204262D+01 1,5814285501722D+01 1,3430707920052D+01
5,7979010707454D+01 1,5901791160197D+01 1,3528125945799D+01
5,9961841361271D+01 1,5990167440016D+01 1,3625947731070D+01
6,2034141441262D+01 1,6079520202894D+01 1,3724182738981D+01
6,4201218756637D+01 1,6169926107313D+01 1,3822815197674D+01
6,6468523131570D+01 1,6261450860546D+01 1,3921802523137D+01
6,8841681908938D+01 1,6354127316227D+01 1,4021069010460D+01
7,1326464446579D+01 1,6447975551579D+01 1,4120526337245D+01
7,3928711109812D+01 1,6542975489380D+01 1,4220067254870D+01
7,6654209008346D+01 1,6639070548368D+01 1,4319552970997D+01
7,9508691996280D+01 1,6736160342434D+01 1,4418797377720D+01
