0,0000000000000D+00 -6,9233117649938D-02 8,7957703426009D-09 -9,9530942895175D-06 6,7975299517360D-02 -1,2677624310972D-03
4,9335819925623D-01 -5,5119932830144D-02 7,0416360876523D-03 -7,7513343264268D-06 4,8252707692255D-02 1,6665961543769D-04
9,8695397069575D-01 -4,4739499612779D-02 1,2156064036519D-02 -8,8324826958004D-05 3,2680064412400D-02 8,3040091818781D-06
1,4810254070369D+00 -3,6825538613583D-02 1,5960371736562D-02 -2,8102264986389D-04 2,1232733147336D-02 8,6543620451563D-05
1,9758112950446D+00 -3,0860592754829D-02 1,8817674695329D-02 -6,0715985173729D-04 1,2714888646094D-02 6,4810734856386D-05
2,4715519136843D+00 -2,6487926280907D-02 2,1081042949605D-02 -1,0456053308928D-03 6,5613321184255D-03 1,0884345623051D-04
2,9684890688241D+00 -2,3462669328948D-02 2,2937894566190D-02 -1,5634482673775D-03 2,1896921850516D-03 1,0146915491678D-04
3,4668670649002D+00 -2,1564836100059D-02 2,4561749420479D-02 -2,1146114676827D-03 -7,5257293354358D-04 1,2972891919454D-04
3,9669327049170D+00 -2,0586849233386D-02 2,6029545879542D-02 -2,6575659938077D-03 -2,6558625921038D-03 1,2926806024429D-04
4,4689355680654D+00 -2,0332274425017D-02 2,7411454792293D-02 -3,1553666973365D-03 -3,7756530076886D-03 1,4816066225167D-04
4,9731293978169D+00 -2,0621684243677D-02 2,8724923986454D-02 -3,5815235192545D-03 -4,3707996841820D-03 1,5091653933996D-04
5,4797718243041D+00 -2,1298027609882D-02 2,9987357601911D-02 -3,9185328608654D-03 -4,6061680177227D-03 1,6462911344077D-04
5,9891243643212D+00 -2,2229362578020D-02 3,1190244702985D-02 -4,1578695197055D-03 -4,6346923537453D-03 1,6832025151413D-04
6,5014551975107D+00 -2,3309036027315D-02 3,2328921613658D-02 -4,2979214870927D-03 -4,5434003613421D-03 1,7856373790854D-04
7,0170369454140D+00 -2,4453968415633D-02 3,3388168585619D-02 -4,3425929553048D-03 -4,4096765011855D-03 1,8193071349584D-04
