0,0000000000000D+00 2,5135892293939D-10 -0,0000000000000D+00 1,7061501990313D-10 -0,0000000000000D+00 3,5322181473166D-07 0,0000000000000D+00 6,8878272445277D-01
4,9291618185410D-01 3,0666687845509D-02 2,1944180854133D-06 7,4907794451616D-03 6,4572687565042D-05 1,4753414495189D-01 1,9921656438542D-04 8,1819469111511D-01
9,8608088989202D-01 1,2220421800949D-01 4,8161654159595D-05 2,6813232355612D-02 6,5804388137216D-04 3,2032000240189D-01 1,1220464544284D-03 9,6032610410259D-01
1,4797071465570D+00 2,7392354239485D-01 2,2223224502178D-04 5,4203202085941D-02 2,3064491016084D-03 5,1901172984097D-01 2,9451420628159D-03 1,1158342671280D+00
1,9740612299032D+00 4,8436535163222D-01 6,3042790093908D-04 8,6875910281286D-02 5,5756702125460D-03 7,4373623469490D-01 6,0120318472126D-03 1,2854055832872D+00
2,4693561623738D+00 7,5052427724344D-01 1,3701159558446D-03 1,2277909280624D-01 1,0944710255446D-02 9,9379859769898D-01 1,0618695571816D-02 1,4694471179004D+00
2,9658582220229D+00 1,0674358189246D+00 2,5300435273345D-03 1,6042265317392D-01 1,8807118352150D-02 1,2674976485696D+00 1,7045049492663D-02 1,6679102904848D+00
3,4637981831641D+00 1,4281362547728D+00 4,1813357327595D-03 1,9875374360353D-01 2,9416986723733D-02 1,5620489938147D+00 2,5502632638823D-02 1,8801414653172D+00
3,9634245719812D+00 1,8239820768185D+00 6,3802245812865D-03 2,3705628814957D-01 4,2886321632703D-02 1,8736717519400D+00 3,6127494947022D-02 2,1048382616034D+00
4,4649859146580D+00 2,2452091737737D+00 9,1680880441151D-03 2,7486738501748D-01 5,9184806723025D-02 2,1978039057882D+00 4,8970587160571D-02 2,3400978894290D+00
4,9687307373782D+00 2,6815904779750D+00 1,2574141048961D-02 3,1190839800147D-01 7,8158226679386D-02 2,5293910425776D+00 6,4001538397562D-02 2,5835236029641D+00
5,4749253181961D+00 3,1230775109194D+00 1,6617390163529D-02 3,4802884717611D-01 9,9552684152079D-02 2,8632041471706D+00 8,1117409556076D-02 2,8323790820652D+00
5,9838181832954D+00 3,5603327667224D+00 2,1308772063574D-02 3,8316288051744D-01 1,2304267829043D-01 3,1941300400282D+00 1,0015563992326D-01 3,0837498238112D+00
6,4956933626004D+00 3,9851175649833D+00 2,6652827209306D-02 4,1729625237420D-01 1,4825857265082D-01 3,5174154997919D+00 1,2090867696149D-01 3,3346999694316D+00
7,0108348860356D+00 4,3905223827711D+00 3,2649084839260D-02 4,5044279903987D-01 1,7481125218124D-01 3,8288396960804D+00 1,4313848818374D-01 3,5824050040135D+00
