0,0000000000000D+00 -1,3746231570462D-27 0,0000000000000D+00 3,0582559573608D-26 1,7760401533451D-05
3,3101204317063D-03 3,2205294817686D-02 -1,5397139922062D-20 -3,3958449421334D-06 3,3285426907241D-03
6,6218348219991D-03 6,4314760267735D-02 -5,1946942468330D-22 -6,7935570768896D-06 6,6384291276336D-03
9,9367406219244D-03 9,6312932670116D-02 2,2327259094031D-20 -1,0191693945671D-05 9,9457614123821D-03
1,3256439939141D-02 1,2817224860191D-01 3,4675411278223D-21 -1,3583870895673D-05 1,3248086906970D-02
1,6582544893026D-02 1,5984633564949D-01 -4,0525232570198D-20 -1,6959040294751D-05 1,6541900113225D-02
1,9916677847505D-02 1,9127444922924D-01 -8,9388445714930D-20 -2,0303798009991D-05 1,9822752103209D-02
2,3260477930307D-02 2,2238400578499D-01 5,8551152478954D-20 -2,3605767637491D-05 2,3085353896022D-02
2,6615601032972D-02 2,5309523940086D-01 -6,8292031372378D-21 -2,6856909244088D-05 2,6323776692152D-02
2,9983721673489D-02 2,8332549333572D-01 1,0317920088741D-19 -3,0055893148528D-05 2,9531696811318D-02
3,3366542309523D-02 3,1299328804016D-01 -2,3240466490290D-19 -3,3209067623829D-05 3,2702635973692D-02
3,6765791475773D-02 3,4202197194099D-01 -2,3251054402131D-19 -3,6330198781798D-05 3,5830199718475D-02
4,0183223783970D-02 3,7034246325493D-01 5,3236020734933D-19 -3,9439462852897D-05 3,8908280432224D-02
4,3620638549328D-02 3,9789506793022D-01 -3,1731971786514D-19 -4,2562234739307D-05 4,1931226849556D-02
4,7079864889383D-02 4,2463064193726D-01 5,9758174428791D-19 -4,5728123950539D-05 4,4893961399794D-02
5,0562772899866D-02 4,5051103830338D-01 1,7088889710856D-19 -4,8970345233101D-05 4,7792058438063D-02
5,4071281105280D-02 4,7550895810127D-01 -1,8972479227312D-18 -5,2325478463899D-05 5,0621788948774D-02
5,7607360184193D-02 4,9960750341415D-01 2,4479252175649D-19 -5,5833403166616D-05 5,3380146622658D-02
6,1173029243946D-02 5,2279913425446D-01 -2,2361669807514D-19 -5,9537313063629D-05 5,6064818054438D-02
6,4770370721817D-02 5,4508495330811D-01 4,6565636275305D-19 -6,3483596022706D-05 5,8674164116383D-02
6,8401530385017D-02 5,6647324562073D-01 -7,0049624737931D-19 -6,7721477535088D-05 6,1207178980112D-02
7,2068713605404D-02 5,8697873353958D-01 -4,9509075767014D-19 -7,2302405897062D-05 6,3663423061371D-02
7,5774215161800D-02 6,0662108659744D-01 1,0194041520206D-18 -7,7279080869630D-05 6,6042982041836D-02
7,9520389437675D-02 6,2542426586151D-01 3,6782405734518D-19 -8,2704151282087D-05 6,8346403539181D-02
8,3309695124626D-02 6,4341533184052D-01 6,8609668727598D-20 -8,8628716184758D-05 7,0574618875980D-02
8,7144672870636D-02 6,6062372922897D-01 3,5257746429460D-19 -9,5100745966192D-05 7,2728931903839D-02
9,1027952730656D-02 6,7708045244217D-01 -1,6207975445711D-18 -1,0216343798675D-04 7,4810907244682D-02
9,4962283968925D-02 6,9281762838364D-01 8,2755118946745D-19 -1,0985370317940D-04 7,6822377741337D-02
9,8950527608395D-02 7,0786786079407D-01 9,3639492318963D-19 -1,1820060899481D-04 7,8765355050564D-02
1,0299564898014D-01 7,2226363420486D-01 9,5926481276550D-20 -1,2722394603770D-04 8,0642014741898D-02
1,0710076242685D-01 7,3603743314743D-01 -7,6465899313382D-19 -1,3693288201466D-04 8,2454666495323D-02
1,1126910895109D-01 7,4922108650208D-01 -5,5586537163563D-19 -1,4732492854819D-04 8,4205679595470D-02
1,1550408601761D-01 7,6184564828873D-01 -2,9934144355967D-18 -1,5838560648263D-04 8,5897520184517D-02
1,1980923265219D-01 7,7394127845764D-01 -2,5463927976832D-18 -1,7008889699355D-04 8,7532676756382D-02
1,2418827414513D-01 7,8553718328476D-01 -1,9475405039745D-18 -1,8239875498693D-04 8,9113652706146D-02
1,2864510715008D-01 7,9666137695313D-01 -1,9030712742436D-18 -1,9527133554220D-04 9,0642966330051D-02
1,3318383693695D-01 8,0734086036682D-01 -7,2294262048155D-19 -2,0865706028417D-04 9,2123113572598D-02
1,3780875504017D-01 8,1760150194168D-01 1,4249211755185D-18 -2,2250199981499D-04 9,3556560575962D-02
1,4252437651157D-01 8,2746785879135D-01 -3,0732472908754D-18 -2,3674756812397D-04 9,4945751130581D-02
1,4733548462391D-01 8,3696341514587D-01 1,4166626042828D-18 -2,5132877635770D-04 9,6293076872826D-02
1,5224710106850D-01 8,4611070156097D-01 1,8782955605364D-18 -2,6617155526765D-04 9,7600869834423D-02
1,5726450085640D-01 8,5493093729019D-01 -7,5809448779260D-20 -2,8119003400207D-04 9,8871409893036D-02
1,6239328682423D-01 8,6344444751740D-01 -2,5614276324970D-18 -2,9628479387611D-04 1,0010693967342D-01
1,6763935983181D-01 8,7167060375214D-01 -3,3447213504704D-18 -3,1134139862843D-04 1,0130960494280D-01
1,7300893366337D-01 8,7962794303894D-01 -8,0277547576026D-19 -3,2622940489091D-04 1,0248150676489D-01
1,7850865423679D-01 8,8733404874802D-01 2,7486219138402D-19 -3,4080113982782D-04 1,0362469404936D-01
1,8414548039436D-01 8,9480590820313D-01 -5,0970207601028D-19 -3,5489033325575D-04 1,0474113374949D-01
1,8992681801319D-01 9,0205955505371D-01 -6,0944020554947D-19 -3,6831203033216D-04 1,0583273321390D-01
1,9586054980755D-01 9,0911066532135D-01 -2,8297253185398D-18 -3,8086465792730D-04 1,0690135508776D-01
2,0195499062538D-01 9,1597396135330D-01 1,6688666643278D-18 -3,9233695133589D-04 1,0794878751040D-01
2,0821902155876D-01 9,2266392707825D-01 4,9826713122234D-19 -4,0251994505525D-04 1,0897676646709D-01
2,1466203033924D-01 9,2919439077377D-01 -2,0585018200648D-18 -4,1122100083157D-04 1,0998697578907D-01
2,2129401564598D-01 9,3557876348495D-01 -2,2580839582616D-18 -4,1827309178188D-04 1,1098103225231D-01
2,2812564671040D-01 9,4182991981506D-01 -2,3409873079741D-18 -4,2353343451396D-04 1,1196050047874D-01
2,3516824841499D-01 9,4796037673950D-01 2,2954592870592D-19 -4,2687269160524D-04 1,1292689293623D-01
