0,0000000000000D+00 -2,2868912374320D-02 0,0000000000000D+00 -2,9032140423329D-04 2,2601670250107D-02 -5,5756352844684D-04 -1,6603259196790D-02
4,9335819925623D-01 -2,5423086236996D-02 1,7045453822735D-04 1,2170782783244D-03 2,4010456954021D-02 -2,5096466423378D-05 -1,8543527670567D-02
9,8695397069575D-01 -3,0177238351987D-02 9,2446751563805D-04 2,8731952925634D-03 2,6175308292660D-02 -2,0426725112575D-04 -2,2613961676684D-02
1,4810254070369D+00 -3,6587100965328D-02 2,3486077205343D-03 5,0148473099324D-03 2,8998018703461D-02 -2,2562723140074D-04 -2,8257510280922D-02
1,9758112950446D+00 -4,3963308430061D-02 4,6620778370684D-03 7,8016559087020D-03 3,1094437268215D-02 -4,0513741607578D-04 -3,4769837234144D-02
2,4715519136843D+00 -5,1688560225505D-02 8,0355598446582D-03 1,1054972788393D-02 3,2119063436929D-02 -4,7896415552467D-04 -4,1520691082157D-02
2,9684890688241D+00 -5,9247833241375D-02 1,2615423904949D-02 1,4665471653566D-02 3,1333856270792D-02 -6,3308141206854D-04 -4,7986771379676D-02
3,4668670649002D+00 -6,6263050649968D-02 1,8480194122961D-02 1,8321549111777D-02 2,8705603878324D-02 -7,5570353690573D-04 -5,3788265504568D-02
3,9669327049170D+00 -7,2513141044448D-02 2,5634132614533D-02 2,1711309860180D-02 2,4266061058348D-02 -9,0163751138629D-04 -5,8709328413302D-02
4,4689355680654D+00 -7,7909964003212D-02 3,4001372561927D-02 2,4494313675687D-02 1,8367452308306D-02 -1,0468254572919D-03 -6,2673365238932D-02
4,9731293978169D+00 -8,2467684200280D-02 4,3433043397310D-02 2,6387943388378D-02 1,1455528671749D-02 -1,1911687428427D-03 -6,5711126015707D-02
5,4797718243041D+00 -8,6265724051124D-02 5,3720694048262D-02 2,7187225756947D-02 4,0194721050587D-03 -1,3383321408556D-03 -6,7922014353307D-02
5,9891243643212D+00 -8,9415397326544D-02 6,4614282717715D-02 2,6788289039627D-02 -3,4669088893306D-03 -1,4797344585333D-03 -6,9439123548181D-02
6,5014551975107D+00 -9,2035548839463D-02 7,5841632510344D-02 2,5186815361750D-02 -1,0616440028250D-02 -1,6235409956192D-03 -7,0403435316842D-02
7,0170369454140D+00 -9,4236028523765D-02 8,7126802762191D-02 2,2465805187774D-02 -1,7111616013486D-02 -1,7550365872865D-03 -7,0946160732181D-02
7,5361483371833D+00 -9,6109137536190D-02 9,8205974112354D-02 1,8775488832180D-02 -2,2758860494941D-02 -1,8865350865974D-03 -7,1179355541426D-02
8,0590753200563D+00 -9,7726444651642D-02 1,0884044738101D-01 1,4310535210653D-02 -2,7435234316286D-02 -2,0106963762683D-03 -7,1192203303328D-02
8,5861116145940D+00 -9,9139404115635D-02 1,1882479988074D-01 9,2880535730948D-03 -3,1097700465447D-02 -2,1242511272451D-03 -7,1051332616857D-02
9,1175581594428D+00 -1,0038206142326D-01 1,2799150752230D-01 3,9287177830637D-03 -3,3775057804417D-02 -2,2368939223067D-03 -7,0803439545024D-02
9,6537253322841D+00 -1,0147464709064D-01 1,3621409446530D-01 -1,5578537008043D-03 -3,5515916703772D-02 -2,3343230299221D-03 -7,0478925170521D-02
1,0194932949834D+01 -1,0242730417467D-01 1,4340478202823D-01 -6,9835909687710D-03 -3,6424865984483D-02 -2,4309790996942D-03 -7,0095786934301D-02
1,0741509712608D+01 -1,0324342421352D-01 1,4951237472820D-01 -1,2188193898924D-02 -3,6595623772811D-02 -2,5148671570609D-03 -6,9663161022605D-02
1,1293797646815D+01 -1,0392245635280D-01 1,5451981152050D-01 -1,7042243923873D-02 -3,6146016088630D-02 -2,5909048447938D-03 -6,9184388910957D-02
1,1852147662465D+01 -1,0446200287232D-01 1,5843576639506D-01 -2,1447411063377D-02 -3,5191043246453D-02 -2,6646907870807D-03 -6,8659359569316D-02
1,2416926216211D+01 -1,0485933890982D-01 1,6129459701593D-01 -2,5334991331559D-02 -3,3823135467444D-02 -2,7228686928915D-03 -6,8086280655589D-02
1,2988511979931D+01 -1,0511238397383D-01 1,6314754883631D-01 -2,8663058424879D-02 -3,2153000371287D-02 -2,7808939336899D-03 -6,7462899846084D-02
1,3567296951195D+01 -1,0522027989465D-01 1,6405931771496D-01 -3,1412908374285D-02 -3,0253027035724D-02 -2,8268975896963D-03 -6,6787287332945D-02
1,4153690895173D+01 -1,0518358843141D-01 1,6410597081581D-01 -3,3585350315084D-02 -2,8206413099996D-02 -2,8693810306851D-03 -6,6058237647152D-02
1,4748120234153D+01 -1,0500430168116D-01 1,6336632333399D-01 -3,5196858848150D-02 -2,6072798726277D-02 -2,9076359215966D-03 -6,5275433560018D-02
1,5351026937070D+01 -1,0468574327529D-01 1,6192658137642D-01 -3,6275974180596D-02 -2,3901855530100D-02 -2,9369916095616D-03 -6,4439498954629D-02
1,5962875182352D+01 -1,0423234945876D-01 1,5986865265786D-01 -3,6860102903753D-02 -2,1738461227708D-02 -2,9622609323542D-03 -6,3551887795812D-02
1,6584148026499D+01 -1,0364948569221D-01 1,5727525525751D-01 -3,6992707669375D-02 -1,9618893195824D-02 -2,9858312998947D-03 -6,2614788961518D-02
1,7215351845978D+01 -1,0294323053995D-01 1,5422750611626D-01 -3,6720904242524D-02 -1,7567472910602D-02 -3,0041015768128D-03 -6,1630999351357D-02
1,7857014116276D+01 -1,0212016748862D-01 1,5079781889965D-01 -3,6093413490014D-02 -1,5604512079089D-02 -3,0202741580744D-03 -6,0603770559389D-02
1,8509690074749D+01 -1,0118712785975D-01 1,4705739370315D-01 -3,5158999621420D-02 -1,3745944175017D-02 -3,0346779530388D-03 -5,9536623824062D-02
1,9173960499670D+01 -1,0015104475245D-01 1,4307074346904D-01 -3,3965073194184D-02 -1,1998352731025D-02 -3,0437272086251D-03 -5,8433223136733D-02
1,9850437262604D+01 -9,9018726026554D-02 1,3889479599600D-01 -3,2556864829836D-02 -1,0378159211013D-02 -3,0589540714043D-03 -5,7297200765890D-02
2,0539759996984D+01 -9,7796700314566D-02 1,3458289741168D-01 -3,0976643917078D-02 -8,8750093022148D-03 -3,0654561221801D-03 -5,6131998642810D-02
2,1242601650485D+01 -9,6491092443311D-02 1,3018193984037D-01 -2,9263274264772D-02 -7,5060706386328D-03 -3,0784975063417D-03 -5,4940757331511D-02
2,1959675147870D+01 -9,5107725541911D-02 1,2573158069004D-01 -2,7451970006105D-02 -6,2566975053465D-03 -3,0848123633232D-03 -5,3726411197368D-02
2,2691728949093D+01 -9,3652288247741D-02 1,2126636923581D-01 -2,5574583137807D-02 -5,1377469783127D-03 -3,0982491280522D-03 -5,2491857595739D-02
2,3439549270251D+01 -9,2130471511301D-02 1,1681911467563D-01 -2,3659858623675D-02 -4,1364263646203D-03 -3,1076418239679D-03 -5,1240099624879D-02
2,4203971188324D+01 -9,0548021798114D-02 1,1241426771654D-01 -2,1733601468963D-02 -3,2518394189080D-03 -3,1191949694508D-03 -4,9974304284534D-02
2,4985874199283D+01 -8,8910725557735D-02 1,0807143832905D-01 -1,9819136377501D-02 -2,4718191449200D-03 -3,1302427511108D-03 -4,8697802475936D-02
2,5786184439036D+01 -8,7224221199661D-02 1,0381111744892D-01 -1,7936961611590D-02 -1,7947439874309D-03 -3,1448093497616D-03 -4,7413888090307D-02
2,6605892451025D+01 -8,5493698717424D-02 9,9646313922915D-02 -1,6104608463647D-02 -1,2059122269490D-03 -3,1579054851060D-03 -4,6125527215887D-02
2,7446035418628D+01 -8,3723690846363D-02 9,5586707609996D-02 -1,4336435583484D-02 -6,9987922135257D-04 -3,1732980412036D-03 -4,4835151939293D-02
2,8307717153709D+01 -8,1918196981085D-02 9,1642348714047D-02 -1,2643924651605D-02 -2,7160680092994D-04 -3,1913797195733D-03 -4,3544811029140D-02
