0,0000000000000D+00 1,0697499743667D-12 -0,0000000000000D+00 7,2634042877495D-13 0,0000000000000D+00 2,3790314163108D-10 -0,0000000000000D+00 1,1931911285501D-04
3,3101204317063D-03 1,3149341975804D-04 9,3381009591553D-09 3,2026091503212D-05 -2,7619844900073D-07 1,1765355884563D-04 -1,4838585116195D-07 1,3074865273666D-04
6,6218348219991D-03 5,2401964785531D-04 2,0500749542407D-07 1,1465132411104D-04 -2,8145602755103D-06 2,4670685525052D-04 -8,0576245409247D-07 1,4292764535639D-04
9,9367406219244D-03 1,1746662203223D-03 9,4630013336428D-07 2,3179144773167D-04 -9,8656028058031D-06 3,8786063669249D-04 -2,0517370558082D-06 1,5593056741636D-04
1,3256439939141D-02 2,0772288553417D-03 2,6853685994865D-06 3,7153743323870D-04 -2,3851880541770D-05 5,4148450726643D-04 -4,0878035179048D-06 1,6984985268209D-04
1,6582544893026D-02 3,2188862096518D-03 5,8380446716910D-06 5,2510382374749D-04 -4,6826553443680D-05 7,0745329139754D-04 -7,0837750172359D-06 1,8476234981790D-04
1,9916677847505D-02 4,5784148387611D-03 1,0783825018734D-05 6,8610371090472D-04 -8,0478886957280D-05 8,8504172163084D-04 -1,1203449503228D-05 2,0071073959116D-04
2,3260477930307D-02 6,1259940266609D-03 1,7827367628342D-05 8,5001875413582D-04 -1,2590203550644D-04 1,0728732449934D-03 -1,6570358639001D-05 2,1768671285827D-04
2,6615601032972D-02 7,8245606273413D-03 2,7209940526518D-05 1,0137726785615D-03 -1,8358034139965D-04 1,2689640279859D-03 -2,3263690309250D-05 2,3562427668367D-04
2,9983721673489D-02 9,6321981400251D-03 3,9109450881369D-05 1,1753772851080D-03 -2,5338720297441D-04 1,4708442613482D-03 -3,1311919883592D-05 2,5440170429647D-04
3,3366542309523D-02 1,1504964902997D-02 5,3651823691325D-05 1,3336387928575D-03 -3,3466337481514D-04 1,6757242847234D-03 -4,0694820199860D-05 2,7384920394979D-04
3,6765791475773D-02 1,3399653136730D-02 7,0919319114182D-05 1,4879195950925D-03 -4,2632044642232D-04 1,8806818407029D-03 -5,1348531997064D-05 2,9376160819083D-04
4,0183223783970D-02 1,5276095829904D-02 9,0959634690080D-05 1,6379501903430D-03 -5,2696163766086D-04 2,0828349515796D-03 -6,3173247326631D-05 3,1391205266118D-04
4,3620638549328D-02 1,7098834738135D-02 1,1379313218640D-04 1,7836864572018D-03 -6,3499977113679D-04 2,2794890683144D-03 -7,6041957072448D-05 3,3406575676054D-04
4,7079864889383D-02 1,8838120624423D-02 1,3941872748546D-04 1,9252058118582D-03 -7,4876361759380D-04 2,4682430084795D-03 -8,9809182099998D-05 3,5399192711338D-04
5,0562772899866D-02 2,0470323041081D-02 1,6781834710855D-04 2,0626352634281D-03 -8,6658564396203D-04 2,6470585726202D-03 -1,0431904956931D-04 3,7347353645600D-04
5,4071281105280D-02 2,1977839991450D-02 1,9895998411812D-04 2,1961051970720D-03 -9,8687061108649D-04 2,8142917435616D-03 -1,1941219418077D-04 3,9231413393281D-04
5,7607360184193D-02 2,3348677903414D-02 2,3279996821657D-04 2,3257203865796D-03 -1,1081438278779D-03 2,9686964116991D-03 -1,3493145524990D-04 4,1034241439775D-04
6,1173029243946D-02 2,4575823917985D-02 2,6928423903883D-04 2,4515490513295D-03 -1,2290826998651D-03 3,1094045843929D-03 -1,5072619135026D-04 4,2741454672068D-04
6,4770370721817D-02 2,5656491518021D-02 3,0834937933832D-04 2,5736184325069D-03 -1,3485337840393D-03 3,2358935568482D-03 -1,6665554721840D-04 4,4341458124109D-04
6,8401530385017D-02 2,6591356843710D-02 3,4992297878489D-04 2,6919192168862D-03 -1,4655174454674D-03 3,3479435369372D-03 -1,8259046191815D-04 4,5825378037989D-04
7,2068713605404D-02 2,7383819222450D-02 3,9392427424900D-04 2,8064127545804D-03 -1,5792248304933D-03 3,4455913119018D-03 -1,9841494213324D-04 4,7186869778670D-04
7,5774215161800D-02 2,8039334341884D-02 4,4026426621713D-04 2,9170410707593D-03 -1,6890077386051D-03 3,5290850792080D-03 -2,1402658603620D-04 4,8421899555251D-04
7,9520389437675D-02 2,8564825654030D-02 4,8884621355683D-04 3,0237368773669D-03 -1,7943650018424D-03 3,5988399758935D-03 -2,2933651052881D-04 4,9528467934579D-04
