0,0000000000000D+00 -2,1028095828062D-26 0,0000000000000D+00 1,0000000000000D+00 7,1000000000000D-01
4,9335819925623D-01 4,9265576687396D-01 3,5026270509120D-01 9,9700163951015D-01 7,0980084245236D-01
9,8695397069575D-01 9,8384559807276D-01 7,0043063389814D-01 9,9310010605353D-01 7,0893278776191D-01
1,4810254070369D+00 1,4733329402226D+00 1,0503283473400D+00 9,8812933269449D-01 7,0730905211558D-01
1,9758112950446D+00 1,9606961459101D+00 1,3996963696960D+00 9,8154822666369D-01 7,0470919999116D-01
2,4715519136843D+00 2,4452258399493D+00 1,7481638383830D+00 9,7284143618536D-01 7,0092542657558D-01
2,9684890688241D+00 2,9259927909953D+00 2,0952600810951D+00 9,6163834995742D-01 6,9577772593454D-01
3,4668670649002D+00 3,4018866627590D+00 2,4404255525055D+00 9,4766595088014D-01 6,8912031821398D-01
3,9669327049170D+00 3,8716872478592D+00 2,7830330179692D+00 9,3081879089598D-01 6,8086412735334D-01
4,4689355680654D+00 4,3341301169397D+00 3,1224134666094D+00 9,1111961958897D-01 6,7097630861727D-01
4,9731293978169D+00 4,7879688485618D+00 3,4578815317609D+00 8,8872124369690D-01 6,5947989797437D-01
5,4797718243041D+00 5,2320308765440D+00 3,7887607143546D+00 8,6387866817189D-01 6,4644862650550D-01
5,9891243643212D+00 5,6652594324537D+00 4,1144048622065D+00 8,3691672473427D-01 6,3199808167391D-01
6,5014551975107D+00 6,0867413553029D+00 4,4342161022682D+00 8,0820355529329D-01 6,1627538440502D-01
7,0170369454140D+00 6,4957248715170D+00 4,7476572552614D+00 7,7812941672690D-01 5,9944793744944D-01
7,5361483371833D+00 6,8916264333854D+00 5,0542601121013D+00 7,4708119883407D-01 5,8169418236606D-01
8,0590753200563D+00 7,2740284395774D+00 5,3536301632814D+00 7,1543291194119D-01 5,6319925795856D-01
8,5861116145940D+00 7,6426723966929D+00 5,6454493576808D+00 6,8352477315551D-01 5,4414459721870D-01
9,1175581594428D+00 7,9974429628798D+00 5,9294729496416D+00 6,5166619442949D-01 5,2470217361273D-01
9,6537253322841D+00 8,3383570063141D+00 6,2055275283918D+00 6,2012372020494D-01 5,0503643168336D-01
1,0194932949834D+01 8,6655412662642D+00 6,4735066827756D+00 5,8912485724506D-01 4,8529518304519D-01
1,0741509712608D+01 8,9792209556748D+00 6,7333639071768D+00 5,5885694992101D-01 4,6561096473375D-01
1,1293797646815D+01 9,2796969663342D+00 6,9851082662496D+00 5,2946771048238D-01 4,4610478323252D-01
1,1852147662465D+01 9,5673358391484D+00 7,2287976949563D+00 5,0107504718310D-01 4,2687474635161D-01
1,2416926216211D+01 9,8425515282747D+00 7,4645307221449D+00 4,7376097666039D-01 4,0801121711331D-01
1,2988511979931D+01 1,0105794459603D+01 7,6924452882021D+00 4,4758259073561D-01 3,8958600874984D-01
1,3567296951195D+01 1,0357538765647D+01 7,9127069215925D+00 4,2257374922610D-01 3,7165737040453D-01
1,4153690895173D+01 1,0598275902995D+01 8,1255095270883D+00 3,9875378631272D-01 3,5427548380514D-01
1,4748120234153D+01 1,0828504622582D+01 8,3310659270010D+00 3,7611566872432D-01 3,3747247744064D-01
1,5351026937070D+01 1,1048721851755D+01 8,5296062847190D+00 3,5464851336664D-01 3,2128043340123D-01
