0,0000000000000E+00	-8,6717183602452E-27	0,0000000000000E+00	2,0355766798323E-26	1,5565357170999E-03
3,3101204317063E-03	3,2174132764339E-02	-1,4129899223631E-20	-9,9908611446153E-06	4,8622158356011E-03
6,6218348219991E-03	6,4252406358719E-02	-1,8298889510898E-20	-1,9981702280347E-05	8,1677660346031E-03
9,9367406219244E-03	9,6219293773174E-02	4,2166358905503E-20	-2,9964405257488E-05	1,1472079902887E-02
1,3256439939141E-02	1,2804715335369E-01	6,9195312601286E-20	-3,9923423173605E-05	1,4772976748645E-02
1,6582544893026E-02	1,5968945622444E-01	4,1564171419565E-20	-4,9837759434013E-05	1,8067073076963E-02
1,9916677847505E-02	1,9108529388905E-01	1,2516235284662E-19	-5,9683254221454E-05	2,1349899470806E-02
2,3260477930307E-02	2,2216190397739E-01	6,8616286172499E-20	-6,9434179749805E-05	2,4616038426757E-02
2,6615601032972E-02	2,5283926725388E-01	-3,0440908286441E-19	-7,9064244346227E-05	2,7859367430210E-02
2,9983721673489E-02	2,8303447365761E-01	-1,2877547776226E-20	-8,8546832557768E-05	3,1073313206434E-02
3,3366542309523E-02	3,1266587972641E-01	-1,7873718676046E-19	-9,7854630439542E-05	3,4251127392054E-02
3,6765791475773E-02	3,4165665507317E-01	3,2646502671753E-19	-1,0695894889068E-04	3,7386145442724E-02
4,0183223783970E-02	3,6993756890297E-01	3,5289510164982E-19	-1,1582903971430E-04	4,0471997112036E-02
4,3620638549328E-02	3,9744889736176E-01	-2,4061029657942E-19	-1,2443166633602E-04	4,3502792716026E-02
4,7079864889383E-02	4,2414158582687E-01	1,3375179632737E-19	-1,3273111835588E-04	4,6473249793053E-02
5,0562772899866E-02	4,4997757673264E-01	5,7120460891482E-19	-1,4068973541725E-04	4,9378775060177E-02
5,4071281105280E-02	4,7492980957031E-01	4,0604641909003E-20	-1,4826869301032E-04	5,2215516567230E-02
5,7607360184193E-02	4,9898168444633E-01	-1,7520347118363E-19	-1,5542889013886E-04	5,4980371147394E-02
6,1173029243946E-02	5,2212601900101E-01	1,1723333036694E-18	-1,6213189519476E-04	5,7670980691910E-02
6,4770370721817E-02	5,4436427354813E-01	2,9704386669024E-19	-1,6834055713844E-04	6,0285691171885E-02
