0,0000000000000E+00	-7,5610331821232E-26	0,0000000000000E+00
4,9312146157517E-01	4,9242389798716E-01	3,5010917621399E-01
9,8649155283530E-01	9,8338094446780E-01	7,0016789669522E-01
1,4803233849389E+00	1,4726347601530E+00	1,0500311012119E+00
1,9748833468342E+00	1,9597635568180E+00	1,3994543948086E+00
2,4703845496796E+00	2,4440573984025E+00	1,7480751269058E+00
2,9670933824233E+00	2,9245865035645E+00	2,0954171215257E+00
3,4652407154872E+00	3,4002395589658E+00	2,4409159051577E+00
3,9650751785561E+00	3,8697951005720E+00	2,7839313206925E+00
4,4668454013149E+00	4,3319855971839E+00	3,1237806389958E+00
4,9708000134487E+00	4,7855633584110E+00	3,4597606332923E+00
5,4772054039056E+00	5,2293548118260E+00	3,7911775372563E+00
5,9863102023705E+00	5,6623004126372E+00	4,1173691193953E+00
6,4983985570548E+00	6,0834856592058E+00	4,4377220272076E+00
7,0137546161700E+00	6,4921588813568E+00	4,7516844011162E+00
7,5326092501376E+00	6,8877367137057E+00	5,0587784884014E+00
8,0552998849588E+00	7,2698022712160E+00	5,3586006432009E+00
8,5820929095818E+00	7,6380978514310E+00	5,6508260567351E+00
9,1132902314810E+00	7,9925107950465E+00	5,9352087573068E+00
9,6491937581310E+00	8,3330602587053E+00	6,2115721498512E+00
1,0190158674796E+01	8,6598762339121E+00	6,4798105926778E+00
1,0736469129688E+01	8,9731858637175E+00	6,7398830905037E+00
1,1288498067333E+01	9,2732938299642E+00	6,9917991037789E+00
1,1846582913734E+01	9,5605686699710E+00	7,2356201254277E+00
1,2411096613416E+01	9,8354272687743E+00	7,4714533738822E+00
1,2982412110909E+01	1,0098320263591E+01	7,6994376024076E+00
1,3560937869265E+01	1,0349726570490E+01	7,9197494060684E+00
1,4147046833012E+01	1,0590136052196E+01	8,1325811473460E+00
1,4741200742994E+01	1,0820048605864E+01	8,3381535700711E+00
1,5343825821527E+01	1,1039961391985E+01	8,5367000320079E+00
1,5955383809455E+01	1,1250369746610E+01	8,7284665048536E+00
1,6576371966148E+01	1,1451758971356E+01	8,9137084207554E+00
1,7207269791713E+01	1,1644602508968E+01	9,0926843653437E+00
1,7848645582572E+01	1,1829360118871E+01	9,2656623846988E+00
1,8501014357359E+01	1,2006476052736E+01	9,4329105249012E+00
1,9164962171759E+01	1,2176379054473E+01	9,5946905250645E+00
1,9841128359248E+01	1,2339478711349E+01	9,7512672777858E+00
2,0530134494039E+01	1,2496170015095E+01	9,9029056756621E+00
