0,0000000000000D+00 -1,2215813345975D-04 1,2098474528461D-03 -0,0000000000000D+00 1,3678172123573D-03 -4,2154075612886D-05 -1,2498795995852D-03 -7,7509661432637D-03
4,9337737941689D-01 5,7403795596486D-04 1,4874561534650D-03 -1,3426609606503D-07 2,0062940007911D-03 1,4181934743581D-04 9,3360607489353D-04 -6,5120882064883D-03
9,8699234025311D-01 1,3170332906799D-03 1,7882699250672D-03 -1,8603913338450D-06 2,6576657279030D-03 3,3242103288176D-04 1,5802578791995D-03 -6,5836892596163D-03
1,4810829844832D+00 2,1619843624736D-03 2,1300605932271D-03 -8,3801966035624D-06 3,3078354370762D-03 5,5050088467311D-04 4,8112527979877D-04 -7,2558951657291D-03
1,9758881081555D+00 3,1242193605523D-03 2,5132775049391D-03 -2,5503055043079D-05 3,9395813434133D-03 6,9786043254536D-04 -3,3720072217966D-03 -7,3941625396074D-03
2,4716479995765D+00 4,0094503189497D-03 2,9265506429663D-03 -5,9082877103584D-05 4,4454677819119D-03 7,2760219035880D-04 -2,1631247601550D-03 -8,0065002699202D-03
2,9686044740151D+00 4,8291026006244D-03 3,3730384828764D-03 -1,1570780154135D-04 4,8330247737027D-03 6,4676375080949D-04 -4,8363059875012D-03 -8,6687570176400D-03
3,4670018454053D+00 5,4890238594199D-03 3,8412825115370D-03 -1,9769657001223D-04 5,0843457455978D-03 4,5899203880127D-04 -3,6498052412795D-03 -9,5392656117183D-03
3,9670869263462D+00 5,9773062853845D-03 4,3243112473039D-03 -3,0417484362930D-04 5,2295210826897D-03 2,4161263480273D-04 -4,3535449992779D-03 -1,0500025135208D-02
4,4691093057317D+00 6,2783110530597D-03 4,8111839604559D-03 -4,2905809668865D-04 5,2987770885148D-03 3,0598824692225D-05 -3,2216336248255D-03 -1,1487843311047D-02
4,9733227368979D+00 6,3992662065321D-03 5,2899837335714D-03 -5,6253548040365D-04 5,3274041360368D-03 -1,2791579504286D-04 -3,0014813936011D-03 -1,2434826287472D-02
5,4799848599932D+00 6,3594998029924D-03 5,7492043400661D-03 -6,9275257891621D-04 5,3451211287163D-03 -2,1744052406453D-04 -2,0510655563074D-03 -1,3278155711663D-02
5,9893572019789D+00 6,1842961433040D-03 6,1771014076719D-03 -8,0737086492347D-04 5,3740093015306D-03 -2,3739118837524D-04 -1,6715075184289D-03 -1,3990686118099D-02
6,5017079529233D+00 5,9036718397549D-03 6,5638040515858D-03 -8,9584404631989D-04 5,4278229348709D-03 -1,9957631270474D-04 -1,0479179585832D-03 -1,4549981389883D-02
7,0173097449665D+00 5,5468382135509D-03 6,9008672235375D-03 -9,5030315775371D-04 5,5128610791627D-03 -1,2411455849748D-04 -8,1171771970766D-04 -1,4962107311654D-02
7,5364413180967D+00 5,1412970412323D-03 7,1822694773070D-03 -9,6651320741451D-04 5,6297241441709D-03 -3,1848658125555D-05 -5,0773354147993D-04 -1,5233861768978D-02
