0,0000000000000D+00 4,8082626361508D-02
-5,5249761211754D-03 4,7996237191151D-02
-4,9719872350340D-02 4,7312216288744D-02
-1,3808345051352D-01 4,5981100309754D-02
-2,7056331455510D-01 4,4072710587038D-02
-4,4708089533497D-01 4,1682442589932D-02
-6,6753146581131D-01 3,8921959415312D-02
-9,3178433191093D-01 3,5909198548343D-02
-1,2396827717978D+00 3,2759151663896D-02
-1,5910442440950D+00 2,9576462574578D-02
-1,9856602490704D+00 2,6450299269243D-02
-2,4232968838950D+00 2,3451663281176D-02
-2,9036944261994D+00 2,0632832423341D-02
-3,4265678893320D+00 1,8028449049509D-02
-3,9916077164334D+00 1,5657705958070D-02
-4,5984782534738D+00 1,3527083931669D-02
-5,2468199702891D+00 1,1633238443651D-02
-5,9362477948037D+00 9,9657203108866D-03
-6,6663538893255D+00 8,5093567340588D-03
-7,4367040413629D+00 7,2462106367744D-03
-8,2468418280664D+00 6,1571037620613D-03
-9,0962875057111D+00 5,2227448051319D-03
-9,9845363439199D+00 4,4245113665294D-03
-1,0911061401958D+01 3,7449565564453D-03
-1,1875315194509D+01 3,1680977122728D-03
-1,2876723583829D+01 2,6795510240132D-03
-1,3914692442851D+01 2,2665505319380D-03
-1,4988608765704D+01 1,9178939480719D-03
-1,6097832894088D+01 1,6238428598322D-03
-1,7241709622453D+01 1,3759951407940D-03
-1,8419558203338D+01 1,1671484489710D-03
-1,9630680120995D+01 9,9116079335833D-04
-2,0874360201908D+01 8,4281807801242D-04
-2,2149856620132D+01 7,1770956182260D-04
-2,3456416444543D+01 6,1211580748678D-04
-2,4793262312625D+01 5,2290747791739D-04
-2,6159603535645D+01 4,4745726683338D-04
-2,7554629435550D+01 3,8356214906977D-04
-2,8977509344964D+01 3,2937712330003D-04
-3,0427403712369D+01 2,8335807246340D-04
-3,1903450775888D+01 2,4421292101067D-04
-3,3404775447431D+01 2,1086069318369D-04
-3,4930487091656D+01 1,8239669862723D-04
-3,6479679525972D+01 1,5806333227902D-04
-3,8051437683645D+01 1,3722568230995D-04
-3,9644826508618D+01 1,1935115454539D-04
-4,1258902060691D+01 1,0399234378618D-04
-4,2892704852415D+01 9,0773020101211D-05
-4,4545270954269D+01 7,9376218642054D-05
-4,6215614226373D+01 6,9534594225069D-05
-4,7902748528849D+01 6,1022150165727D-05
-4,9605674395603D+01 5,3647656526911D-05
-5,1323374592255D+01 4,7248896583188D-05
-5,3054836326497D+01 4,1688129956333D-05
-5,4799033479807D+01 3,6848109116391D-05
