0,0000000000000E+000	2,4578054797839E-010	-0,0000000000000E+000	1,6775878608361E-010	-0,0000000000000E+000	4,1065001707015E-007	-0,0000000000000E+000	4,2753533777437E+000
4,9270740684889E-001	3,0562693718418E-002	2,1760625118119E-006	7,4541879635544E-003	6,4429882632211E-005	2,7926609670507E-001	3,2586463016967E-004	4,2782785117997E+000
9,8565207249787E-001	1,2179481813538E-001	4,7776583811883E-005	2,6684609989159E-002	6,5640970771948E-004	5,6142865105877E-001	1,6828809931886E-003	4,2870249844277E+000
1,4790717755954E+000	2,7301778832172E-001	2,2055288152385E-004	5,3946885590470E-002	2,3003786343132E-003	8,4889186095041E-001	4,0997796898868E-003	4,3028097866163E+000
1,9732049879211E+000	4,8279107474915E-001	6,2592519335322E-004	8,6469383416116E-002	5,5606422464643E-003	1,1434195649213E+000	7,8617314854952E-003	4,3270800454703E+000
2,4682916714866E+000	7,4814167177451E-001	1,3608721125533E-003	1,2220828756124E-001	1,0915288971827E-002	1,4460481538585E+000	1,3199015141181E-002	4,3615864857398E+000
2,9645733131922E+000	1,0641503106857E+000	2,5139177958329E-003	1,5967855993080E-001	1,8757692632027E-002	1,7568678961929E+000	2,0342408705062E-002	4,4077690834075E+000
3,4622938952103E+000	1,4239060497649E+000	4,1561491735000E-003	1,9783028181125E-001	2,9342545784119E-002	2,0749578277886E+000	2,9463072823544E-002	4,4665626851836E+000
3,9616998949856E+000	1,8188186127118E+000	6,3438727535295E-003	2,3594915830873E-001	4,2782985749573E-002	2,3984427586239E+000	4,0669850211744E-002	4,5382653628460E+000
4,4630405624874E+000	2,2391709012479E+000	9,1186140880810E-003	2,7357374252116E-001	5,9050119175654E-002	2,7246366846413E+000	5,3994467031172E-002	4,6224682022218E+000
4,9665693064721E+000	2,6747719695241E+000	1,2509756479211E-002	3,1042708163309E-001	7,7991197960178E-002	3,0502910730443E+000	6,9397884305606E-002	4,7181342905830E+000
5,4725434172307E+000	3,1155972700889E+000	1,6536470687799E-002	3,4636091390754E-001	9,9353677982394E-002	3,3718492722803E+000	8,6774863461345E-002	4,8236877806239E+000
5,9812240665886E+000	3,5523208446922E+000	2,1209827519901E-002	3,8131206148938E-001	1,2281321620696E-001	3,6857105330662E+000	1,0596711673208E-001	4,9371689397939E+000
6,4928790804307E+000	3,9767049347155E+000	2,6534478933343E-002	4,1526927090853E-001	1,4800110443158E-001	3,9884440896777E+000	1,2677519140297E-001	5,0563781478955E+000
7,0077807206812E+000	4,3818329170774E+000	3,2510042528656E-002	4,4824925848463E-001	1,7452881113862E-001	4,2769604626701E+000	1,4897206189953E-001	5,1790176193256E+000
7,5262073488185E+000	4,7622023911899E+000	3,9132132661930E-002	4,8028029446414E-001	2,0200851498087E-001	4,5486201955902E+000	1,7231490802752E-001	5,3028100466948E+000
8,0484445348856E+000	5,1137087904097E+000	4,6393103050925E-002	5,1139155046370E-001	2,3006883778831E-001	4,8012967978893E+000	1,9655569183244E-001	5,4255941658252E+000
8,5747856119943E+000	5,4335485803439E+000	5,4282557210078E-002	5,4160700839285E-001	2,5836620729517E-001	5,0333903134565E+000	2,2144968504518E-001	5,5453917162583E+000
9,1055311218206E+000	5,7200711063704E+000	6,2787691585738E-002	5,7094245588683E-001	2,8659212272982E-001	5,2438129982785E+000	2,4676213556586E-001	5,6604513231420E+000
9,6409910326246E+000	5,9726081527312E+000	7,1893524312996E-002	5,9940483076456E-001	3,1447710172360E-001	5,4319486148426E+000	2,7227323788107E-001	5,7692719009035E+000
1,0181484739250E+001	6,1912960721514E+000	8,1583014715513E-002	6,2699271268517E-001	3,4179203236608E-001	5,5975970272962E+000	2,9778125429742E-001	5,8706078540652E+000
1,0727340508620E+001	6,3769040338486E+000	9,1837179391077E-002	6,5369823514529E-001	3,6834727183488E-001	5,7409161582799E+000	3,2310463502475E-001	5,9634638764285E+000
1,1278899915776E+001	6,5306797526617E+000	1,0263517074007E-001	6,7950839656298E-001	3,9399062514134E-001	5,8623579153032E+000	3,4808279553997E-001	6,0470832492380E+000
1,1836513407838E+001	6,6542161955215E+000	1,1395435890819E-001	7,0440768244549E-001	4,1860412204926E-001	5,9626086399628E+000	3,7257618725649E-001	6,1209224872016E+000
1,2400546958066E+001	6,7493348949845E+000	1,2577042055779E-001	7,2837954035866E-001	4,4210049353697E-001	6,0425363414280E+000	3,9646563794278E-001	6,1846344358386E+000
1,2971378738825E+001	6,8179967955278E+000	1,3805744812485E-001	7,5140840118126E-001	4,6441918391712E-001	6,1031405682515E+000	4,1965133879374E-001	6,2380409671946E+000
1,3549400230603E+001	6,8622253366272E+000	1,5078803176171E-001	7,7348126333134E-001	4,8552260878477E-001	6,1455120796759E+000	4,4205138392895E-001	6,2811089260664E+000
1,4135020658043E+001	6,8840518242623E+000	1,6393340956546E-001	7,9458889459315E-001	5,0539235833691E-001	6,1707974166883E+000	4,6360009788261E-001	6,3139299768392E+000
1,4728665880936E+001	6,8854721651471E+000	1,7746359049201E-001	8,1472676080155E-001	5,2402586503423E-001	6,1801706342441E+000	4,8424659865825E-001	6,3366978499162E+000
1,5330777285213E+001	6,8684154007175E+000	1,9134751824165E-001	8,3389573601248E-001	5,4143312589144E-001	6,1748091794316E+000	5,0395286609741E-001	6,3496881885555E+000
1,5941818437002E+001	6,8347227297882E+000	2,0555318051596E-001	8,5210237564540E-001	5,5763408030942E-001	6,1558761769998E+000	5,2269237560379E-001	6,3532422963196E+000
