0,0000000000000D+00 6,4295590898807D-02
-5,5277389700264D-03 6,4203876002124D-02
-4,9744735533308D-02 6,3476858146470D-02
-1,3815250125586D-01 6,2057121612815D-02
-2,7069861388063D-01 6,0008666991334D-02
-4,4730446497778D-01 5,7418446134437D-02
-6,6786527513516D-01 5,4388398707351D-02
-9,3225028492399D-01 5,1026977875910D-02
-1,2403026941371D+00 4,7442095892406D-02
-1,5918398701150D+00 4,3735538411958D-02
-1,9866532088619D+00 3,9998956473401D-02
-2,4245086905824D+00 3,6311379799513D-02
-2,9051464630287D+00 3,2737868269492D-02
-3,4282813970374D+00 2,9329318467244D-02
-3,9936037809504D+00 2,6122987691374D-02
-4,6007777928891D+00 2,3143675325397D-02
-5,2494437229006D+00 2,0405264816976D-02
-5,9392163063482D+00 1,7912479768773D-02
-6,6696875015945D+00 1,5662701069887D-02
-7,4404228790131D+00 1,3647672276066D-02
-8,2509657875133D+00 1,1855090421412D-02
-9,1008362434671D+00 1,0269948911385D-02
-9,9895292640992D+00 8,8756832077472D-03
-1,0916517645170D+01 7,6550545084990D-03
-1,1881253627585D+01 6,5908573491955D-03
-1,2883162786493D+01 5,6664126231034D-03
-1,3921650697725D+01 4,8659197384577D-03
-1,4996104048868D+01 4,1746782427611D-03
-1,6105882861751D+01 3,5792061476227D-03
-1,7250331603177D+01 3,0672882916869D-03
-1,8428769185268D+01 2,6279660106882D-03
-1,9640496742972D+01 2,2514922960931D-03
-2,0884798745140D+01 1,9292580768486D-03
-2,2160932994865D+01 1,6537068799396D-03
-2,3468146184510D+01 1,4182411565596D-03
-2,4805660562824D+01 1,2171266127223D-03
-2,6172685045680D+01 1,0453998266751D-03
-2,7568408549632D+01 8,9877844879839D-04
-2,8991999991918D+01 7,7357950112258D-04
-3,0442619401186D+01 6,6664372221062D-04
-3,1919404584626D+01 5,7526677910744D-04
-3,3421480016543D+01 4,9713840282752D-04
-3,4947954616222D+01 4,3028844960180D-04
-3,6497921747921D+01 3,7303850860144D-04
-3,8070465887311D+01 3,2396099300325D-04
-3,9664651510747D+01 2,8184210478488D-04
-4,1279534205998D+01 2,4565090357920D-04
-4,2914154005808D+01 2,1451198514051D-04
