0,0000000000000E+000	-1,0385239487759E-005	0,0000000000000E+000	-1,2644919024956E-007	-5,2839802423615E-005	-6,3351491101623E-005
4,9326223639939E-001	-1,1737224511316E-004	-5,5215788330103E-005	2,7359160976142E-008	1,6957223333715E-004	-2,9884409451403E-006
9,8676199877202E-001	-3,8750479097382E-004	-1,2229316423918E-004	-3,9542108869546E-007	5,1525981031590E-004	5,0664340142030E-006
1,4807373335249E+000	-6,9713972459572E-004	-2,8225570280645E-004	-2,0488240676909E-006	9,6902478370581E-004	-1,2419467764043E-005
1,9754269809767E+000	-1,0554145029862E-003	-2,5295165267267E-004	-5,7080165328177E-006	1,3430121442025E-003	2,8937972010868E-005
2,4710711733564E+000	-1,3844403258463E-003	-3,4819094708082E-004	-1,0642778818069E-005	1,7149107547052E-003	-2,8363297039922E-005
2,9679116694984E+000	-1,7117264334197E-003	-1,9608570116515E-004	-1,4224687043664E-005	1,9693949153146E-003	4,7358093686133E-005
3,4661927263195E+000	-2,0171025699529E-003	-1,8273228729763E-004	-1,1761283171881E-005	2,1871953077663E-003	-2,4400832656160E-005
3,9661610988185E+000	-2,3143850092670E-003	5,2700469659302E-005	2,9433811043367E-006	2,3130287780603E-003	5,4287619556896E-005
4,4680663176409E+000	-2,6053009204752E-003	1,5822650616799E-004	3,6900690330710E-005	2,4023248201956E-003	-7,8489037809320E-006
4,9721620769024E+000	-2,8981440167037E-003	4,2843123837175E-004	9,7032763221531E-005	2,4305481200495E-003	5,7868104938991E-005
5,4787059566243E+000	-3,1978916583621E-003	5,8944826742187E-004	1,8937760152356E-004	2,4322290018515E-003	1,3163212434800E-005
5,9879594227334E+000	-3,5094234726692E-003	8,5759584227508E-004	3,1839100205717E-004	2,3961720857353E-003	6,2735457398345E-005
6,5001906027085E+000	-3,8358118340490E-003	1,0413243171542E-003	4,8644101340552E-004	2,3427356832049E-003	3,4689179715691E-005
7,0156720650636E+000	-4,1789355628840E-003	1,2896250805662E-003	6,9350987146680E-004	2,2661980235645E-003	7,0397412713552E-005
