0,0000000000000D+00 -3,6063910125922D-04 -1,5663910157861D-07 -0,0000000000000D+00 -2,5320046238258D-04 -1,3528887991704D-04 -1,3651386757736D-03 1,5692410700561D-02 -1,8755397601838D-02
4,9326223639939D-01 1,4380082057637D-03 -3,3339040539196D-05 -1,9158084699181D-06 1,4117661952598D-03 4,6825906946460D-04 1,0577946273356D-04 1,0697160857453D-02 -1,2484187692667D-02
9,8676199877202D-01 3,0183712821154D-03 -2,9074618079754D-05 -1,2824652265392D-05 2,8625496628908D-03 9,2089583686038D-04 5,2347904100099D-06 6,0622259353343D-03 -1,0683258800345D-02
1,4807373335249D+00 4,5666408815223D-03 1,1714317508673D-04 -3,9117044904735D-05 4,1946249770534D-03 1,2308165011156D-03 1,5445953351870D-04 1,9249867329114D-03 -1,0786713740920D-02
1,9754269809767D+00 6,1154207562448D-03 4,3266028122986D-04 -9,4499895060000D-05 5,3239338316404D-03 1,2912770570792D-03 2,6692578288684D-04 -3,9210181405316D-05 -1,1594844350000D-02
2,4710711733564D+00 7,4103533008632D-03 9,1664041090378D-04 -1,8842908940522D-04 6,0690120969285D-03 1,0279215715373D-03 2,0373050338206D-04 -1,1468912182486D-03 -1,2873191255671D-02
2,9679116694984D+00 8,4463835041484D-03 1,5417073924903D-03 -3,2972823396112D-04 6,4630910180712D-03 5,3648840535342D-04 2,9870123566305D-04 -1,1193667891066D-03 -1,4306722507115D-02
3,4661927263195D+00 9,1340870099207D-03 2,2705011301908D-03 -5,1185531414736D-04 6,5495942369377D-03 -4,0297448161345D-05 1,9703704040708D-04 -4,8500840945295D-04 -1,5742883313191D-02
3,9661610988185D+00 9,4804336592478D-03 3,0605795683397D-03 -7,2273725657948D-04 6,4408427027423D-03 -5,4853947382937D-04 2,5360490525556D-04 4,8681543330094D-04 -1,7025211899820D-02
4,4680663176409D+00 9,5005509022091D-03 3,8702033887354D-03 -9,3642345854119D-04 6,2391756672111D-03 -8,9020123047946D-04 1,6744885985659D-04 1,4155458145803D-03 -1,8048259162252D-02
4,9721620769024D+00 9,2431062657878D-03 4,6615863050242D-03 -1,1278387432672D-03 6,0307530951234D-03 -1,0307972676328D-03 1,9203793019127D-04 2,1417253728026D-03 -1,8763165474196D-02
5,4787059566243D+00 8,7661556805927D-03 5,4030241165006D-03 -1,2698611812138D-03 5,8701515395897D-03 -9,9257300977115D-04 1,3006154431867D-04 2,5328684786876D-03 -1,9157610929221D-02
5,9879594227334D+00 8,1329966247355D-03 6,0699323572843D-03 -1,3448379997267D-03 5,7838520421131D-03 -8,3018253692536D-04 1,3538334800668D-04 2,6193515986905D-03 -1,9266731769401D-02
6,5001906027085D+00 7,4033578847396D-03 6,6450732155507D-03 -1,3416698353916D-03 5,7760709884976D-03 -6,0837758286689D-04 9,3854290517535D-05 2,4338746594394D-03 -1,9135037067559D-02
7,0156720650636D+00 6,6294266754187D-03 7,1181622016649D-03 -1,2604445158624D-03 5,8369867212312D-03 -3,8530873308018D-04 9,0210244933415D-05 2,0758286031371D-03 -1,8824161108451D-02
7,5346824847354D+00 5,8533753715916D-03 7,4850796961685D-03 -1,1081990362661D-03 5,9497234549919D-03 -2,0353379800351D-04 6,3395199876179D-05 1,6150830547799D-03 -1,8385867300348D-02
8,0575077533423D+00 5,1068516833114D-03 7,7468272185270D-03 -8,9880414671680D-04 6,0956033800653D-03 -8,7528285100058D-05 5,6779286838363D-05 1,1319769949986D-03 -1,7870375909103D-02
8,5844415343137D+00 4,4116235839102D-03 7,9084095516941D-03 -6,4896730944003D-04 6,2574285583329D-03 -4,5412888100135D-05 3,9553282509456D-05 6,7138746216400D-04 -1,7313275582987D-02
9,1157847077605D+00 3,7809203284606D-03 7,9777102603933D-03 -3,7670283914965D-04 6,4211635734881D-03 -7,2804432769189D-05 3,2567442319179D-05 2,7202175312996D-04 -1,6743358824780D-02
9,6518475909929D+00 3,2210863869459D-03 7,9644846718363D-03 -9,8855876974528D-05 6,5764614976362D-03 -1,5728242210187D-04 2,1022777771773D-05 -5,3797452699890D-05 -1,6177971692119D-02
1,0192949938520D+01 2,7332555130674D-03 7,8794804471178D-03 1,6996468970840D-04 6,7164670468729D-03 -2,8245082462715D-04 1,4385948885435D-05 -2,9877859830454D-04 -1,5628987381150D-02
1,0739420386920D+01 2,3148807368115D-03 7,7337316642821D-03 4,1824647209877D-04 6,8372382450527D-03 -4,3115636255847D-04 5,8778031963968D-06 -4,7015135593136D-04 -1,5101757350813D-02
1,1291600895878D+01 1,9610297869043D-03 7,5380231873649D-03 6,3779496407487D-04 6,9370396241374D-03 -5,8768512927353D-04 -4,1417096062161D-07 -5,7551239599605D-04 -1,4598872309680D-02
1,1849842307145D+01 1,6654142809913D-03 7,3025031918251D-03 8,2355349738224D-04 7,0156594596038D-03 -7,3902987321141D-04 -7,4174571708993D-06 -6,2801498638573D-04 -1,4120104213545D-02
1,2414511006097D+01 1,4211572961877D-03 7,0364440093560D-03 9,7328465239778D-04 7,0738399793050D-03 -8,7540619870082D-04 -1,3428148571665D-05 -6,3871063714602D-04 -1,3664375133255D-02
1,2985985590955D+01 1,2213361136884D-03 6,7480996742275D-03 1,0869832083822D-03 7,1128499398004D-03 -9,9022262722168D-04 -1,9611115768219D-05 -6,1934719129676D-04 -1,3229755888830D-02
1,3564657983044D+01 1,0593368615745D-03 6,4446615877896D-03 1,1664005175856D-03 7,1341894233588D-03 -1,0797451477320D-03 -2,5273831015984D-05 -5,7912306292746D-04 -1,2814309017677D-02
1,4150937867829D+01 9,2907250443618D-04 6,1322688350239D-03 1,2144553638619D-03 7,1393845299342D-03 -1,1425637480594D-03 -3,0831791703740D-05 -5,2614209561886D-04 -1,2415988215866D-02
1,4745251584655D+01 8,2509078486948D-04 5,8160625311835D-03 1,2348294476208D-03 7,1298463128864D-03 -1,1790116989288D-03 -3,6008607663386D-05 -4,6652660079044D-04 -1,2032939818043D-02
1,5348041016490D+01 7,4261408823196D-04 5,5002692558642D-03 1,2315413320064D-03 7,1067767468476D-03 -1,1906904531119D-03 -4,0922780036851D-05 -4,0521376172666D-04 -1,1663448399510D-02
1,5959770251476D+01 6,7753237264418D-04 5,1882939345957D-03 1,2086903697900D-03 7,0711335559670D-03 -1,1800644518793D-03 -4,5465553781874D-05 -3,4512491236561D-04 -1,1306078644570D-02
1,6580922252152D+01 6,2636606241305D-04 4,8828229892780D-03 1,1702110220817D-03 7,0236663832601D-03 -1,1501100874332D-03 -4,9660614231487D-05 -2,8860202244463D-04 -1,0959614811692D-02
1,7212003296492D+01 5,8621254783277D-04 4,5859243753249D-03 1,1197524462274D-03 6,9649824686146D-03 -1,1039769256953D-03 -5,3482377150820D-05 -2,3655446936596D-04 -1,0623028872942D-02
1,7853540757382D+01 5,5468021211485D-04 4,2991427650666D-03 1,0605729018190D-03 6,8955878149406D-03 -1,0447654933526D-03 -5,6940068235752D-05 -1,8977268063023D-04 -1,0295419207703D-02
1,8506089764181D+01 5,2981724722375D-04 4,0235879958828D-03 9,9551299022171D-04 6,8159040729743D-03 -9,7542485594905D-04 -6,0036388141945D-05 -1,4827476006980D-04 -9,9760174723326D-03
1,9170230982193D+01 5,1004484048108D-04 3,7600134792789D-03 9,2697842699701D-04 6,7262745703619D-03 -8,9872580982824D-04 -6,2766897115090D-05 -1,1187882068635D-04 -9,6641847904736D-03
1,9846576163970D+01 4,9409562779899D-04 3,5088791496387D-03 8,5696339831623D-04 6,6269946538004D-03 -8,1722770470858D-04 -6,5128092897051D-05 -7,9736758474158D-05 -9,3593982387474D-03
2,0535764818529D+01 4,8096195183678D-04 3,2704115045063D-03 7,8707709318713D-04 6,5183960351508D-03 -7,3313949591562D-04 -6,7109134393661D-05 -5,1511038911815D-05 -9,0611300595713D-03
2,1238469762651D+01 4,6984706715407D-04 3,0446490030093D-03 7,1858664737476D-04 6,4009169729596D-03 -6,4819552810934D-04 -6,8713728472044D-05 -2,6603667345886D-05 -8,7687397875227D-03
2,1955403782428D+01 4,6012495819863D-04 2,8314816091395D-03 6,5245793300594D-04 6,2750729325979D-03 -5,6369175542119D-04 -6,9945719463510D-05 -5,3789801909877D-06 -8,4815319501175D-03
2,2687315192233D+01 4,5130692763040D-04 2,6306838755512D-03 5,8940043555605D-04 6,1413705996945D-03 -4,8069823667375D-04 -7,0805086752482D-05 1,2499772010932D-05 -8,1989533719490D-03
2,3434990055233D+01 4,4301686590365D-04 2,4419397178724D-03 5,2990706467574D-04 6,0002741653957D-03 -4,0021445326158D-04 -7,1265300981918D-05 2,7329533359962D-05 -7,9206890438534D-03
2,4199263285981D+01 4,3497149280440D-04 2,2648652652724D-03 4,7429240252722D-04 5,8522555917809D-03 -3,2312274385876D-04 -7,1296900871059D-05 3,9899836022295D-05 -7,6465659449855D-03
2,4981014209376D+01 4,2696350220653D-04 2,0990259734417D-03 4,2272566974322D-04 5,6978711720128D-03 -2,5005079693364D-04 -7,0896375901144D-05 5,0444681237567D-05 -7,3763607992464D-03
2,5781168781184D+01 4,1884721782980D-04 1,9439524834168D-03 3,7526011028412D-04 5,5377798612165D-03 -1,8134722824293D-04 -7,0095606578210D-05 5,9150621166957D-05 -7,1097288434426D-03
2,6600717352177D+01 4,1052507474194D-04 1,7991515199086D-03 3,3185759763989D-04 5,3726864163026D-03 -1,1724604607469D-04 -6,8936474155135D-05 6,5883869507510D-05 -6,8463622468270D-03
2,7440696903992D+01 4,0193588078620D-04 1,6641154743980D-03 2,9240989674284D-04 5,2032928209827D-03 -5,7972705820091D-05 -6,7451969835424D-05 7,0827849018486D-05 -6,5861098796463D-03
2,8302211033788D+01 3,9304553754256D-04 1,5383305858082D-03 2,5675638247511D-04 5,0302674866016D-03 -3,7487126676504D-06 -6,5651121065383D-05 7,4313350558978D-05 -6,3289727605330D-03
2,9186434395284D+01 3,8384203475320D-04 1,4212841109386D-03 2,2469911783889D-04 4,8542168231823D-03 4,5185859143345D-05 -6,3529054558568D-05 7,6917030578116D-05 -6,0751121231695D-03
3,0094606037202D+01 3,7433118135119D-04 1,3124713807838D-03 1,9601520681949D-04 4,6757417027934D-03 8,8634756697731D-05 -6,1099123436751D-05 7,9247776711927D-05 -5,8248008741477D-03
3,1028049387926D+01 3,6453173104954D-04 1,2114012945242D-03 1,7046641296284D-04 4,4955440636565D-03 1,2664234763876D-04 -5,8397622859271D-05 8,1565086571861D-05 -5,5782130502287D-03
3,1988163373435D+01 3,5447326666437D-04 1,1175990188331D-03 1,4780713143490D-04 4,3144312983715D-03 1,5953339478752D-04 -5,5461323385166D-05 8,3461559276177D-05 -5,3353280433449D-03
3,2976437960920D+01 3,4419602052139D-04 1,0306064300199D-03 1,2779223493235D-04 4,1332373822351D-03 1,8771240845899D-04 -5,2317238009236D-05 8,4383247840509D-05 -5,0960858945227D-03
3,3994463040857D+01 3,3374607776676D-04 9,4998230974624D-04 1,1018356086152D-04 3,9527447699783D-03 2,1154003908125D-04 -4,8971964974622D-05 8,3954859808902D-05 -4,8605195042341D-03
3,5043926206489D+01 3,2317040548534D-04 8,7530442140400D-04 9,4752823649562D-05 3,7735977312180D-03 2,3122184629345D-04 -4,5421135843624D-05 8,2148615730038D-05 -4,6288724062365D-03
3,6126626076928D+01 3,1251873629896D-04 8,0617148454873D-04 8,1283339314164D-05 3,5962988095037D-03 2,4679542761421D-04 -4,1679310927503D-05 7,9586446938045D-05 -4,4016585056155D-03
3,7244476738196D+01 3,0184305494389D-04 7,4220365470020D-04 6,9573211390425D-05 3,4213688366178D-03 2,5832804929962D-04 -3,7791244959230D-05 7,6740821097200D-05 -4,1793908762529D-03
