0,0000000000000E+00	-1,2609121466560E-04	0,0000000000000E+00	0,0000000000000E+00	-1,1553686370643E-05	-3,2554146467466E-03	-3,3930595477828E-03
4,9358612160764E-01	6,3827613586314E-04	-1,5732009551542E-06	2,8714949928408E-03	-7,1660053684629E-06	-3,1150302066275E-03	3,8600171575281E-04
9,8740992515251E-01	1,5130399399390E-03	-3,4485426670528E-05	2,5536884663443E-03	-9,3857588318895E-05	-3,9874113539749E-03	-4,9025962680991E-05
1,4817096133474E+00	2,5425036014207E-03	-1,5876216565958E-04	3,7878366135176E-03	-3,1879124870116E-04	-5,7902758766997E-03	6,2510923877771E-05
1,9767240832722E+00	3,7445766177632E-03	-4,4872532473028E-04	4,4182005380474E-03	-7,4521661366413E-04	-6,9728329887737E-03	-3,9977713575104E-06
2,4726937248970E+00	4,8803564445928E-03	-9,6998076512020E-04	5,9862360669872E-03	-1,3928002774241E-03	-8,3862615760804E-03	1,1754989295536E-04
2,9698604557995E+00	5,9662338017933E-03	-1,7779760473302E-03	7,2483626615072E-03	-2,2537351425128E-03	-9,1737726093819E-03	9,1126640755293E-06
3,4684686932802E+00	6,8843896449723E-03	-2,9101831699939E-03	9,1971677224350E-03	-3,2783145273079E-03	-9,7371068871241E-03	1,5595278298133E-04
3,9687653543618E+00	7,6191278899456E-03	-4,3870700923219E-03	1,0949490324522E-02	-4,3939419040248E-03	-9,7417840407888E-03	4,5822177332516E-05
4,4710001335363E+00	8,1479416654134E-03	-6,2119005476577E-03	1,3153183133230E-02	-5,5096332545808E-03	-9,4076777670863E-03	1,7191322931842E-04
4,9754268914998E+00	8,4751620755888E-03	-8,3726158629578E-03	1,5187625382487E-02	-6,5327992627849E-03	-8,6657286300706E-03	9,1643702262563E-05
5,4823033774053E+00	8,6188975414281E-03	-1,0844499711398E-02	1,7466320904132E-02	-7,3775942348200E-03	-7,6768624733327E-03	1,8626202600914E-04
5,9918912288631E+00	8,6035345891576E-03	-1,3592672287312E-02	1,9570549465677E-02	-7,9738156895695E-03	-6,4685582544772E-03	1,3903782347611E-04
6,5044587494095E+00	8,4592487324246E-03	-1,6575073278245E-02	2,1759212247280E-02	-8,2706891380090E-03	-5,1643220440309E-03	2,0837651942035E-04
7,0202786865321E+00	8,2155057406929E-03	-1,9745193575238E-02	2,3762890352077E-02	-8,2384239049913E-03	-3,8074648388631E-03	1,8731377367788E-04
7,5396298981508E+00	7,9006936922510E-03	-2,3053670960593E-02	2,5742549190395E-02	-7,8672779376488E-03	-2,4824451458023E-03	2,3984883860219E-04
8,0627984636057E+00	7,5396354391463E-03	-2,6451406846401E-02	2,7533209919528E-02	-7,1651342943009E-03	-1,2190186546286E-03	2,3728556334401E-04
8,5900782391511E+00	7,1534679083452E-03	-2,9890550660924E-02	2,9235664769259E-02	-6,1542957961231E-03	-6,5772911788150E-05	2,7851330876898E-04
9,1217703024616E+00	6,7592346557620E-03	-3,3325529863450E-02	3,0754393341345E-02	-4,8679883760221E-03	9,6703065800923E-04	2,8714041564358E-04
9,6581851746073E+00	6,3702158400369E-03	-3,6714162413863E-02	3,2154011543269E-02	-3,3469127216466E-03	1,8576687982385E-03	3,2082104603498E-04
